53;40;13/07/2018;12/07/2021;119/16549/RSJ;III/884.1/STIKEP/PPNI/JBR/IX/2018;2;0;0;2;NULL;NULL;NULL;NULL;y
54;41;29/09/2018;28/09/2021;119/9816/RSJ;PKS.032/IKR-I/R/VI/2020;2;0;0;2;NULL;NULL;NULL;NULL;y
55;42;29/10/2019;28/10/2022;073/20903/RSJ;017/STIKes-SB/SP-KS/XII/2020;2;0;0;2;NULL;NULL;NULL;NULL;y
56;43;26/03/2019;25/03/2022;073/0954/RSJ;022/D-STIK/UN/II/2015;2;0;0;2;NULL;NULL;NULL;NULL;y
57;44;30/04/2018;29/04/2021;;;2;0;0;2;NULL;NULL;NULL;NULL;y
58;45;01/12/2020;01/12/2023;073/0428/RSJ;…/STIKES-TT/I/2015;2;0;0;2;NULL;NULL;NULL;NULL;y
59;46;15/04/2019;14/04/2022;;;2;0;0;2;NULL;NULL;NULL;NULL;y
60;47;21/03/2011;20/03/2014;073/7945/RSJ/2016;168/STIKES.YSI/V/2016;2;0;0;2;NULL;NULL;NULL;NULL;y
61;48;01/01/2014;31/12/2016;119/21223/RSJ;A-46/MoU/LPPM-STIKesYPIB/XII/2020;2;0;0;2;NULL;NULL;NULL;NULL;y
62;49;04/01/2019;03/01/2022;…./…./RSJ;…../…../…..;2;0;0;0;NULL;NULL;NULL;NULL;y
63;50;14/12/2019;13/12/2022;119/20217A/RSJ;06/FIKES/UNIBA/01/XI/2018;2;0;0;2;NULL;NULL;NULL;NULL;y
64;51;06/04/2015;05/04/2018;…./…./RSJ;…../…../…..;2;0;0;3;NULL;NULL;NULL;NULL;y
65;52;14/09/2018;13/09/2021;119/16531/RSJ;13/4123/AK/KS/R/IX/2018;2;0;0;3;NULL;NULL;NULL;NULL;y
66;53;08/09/2021;07/09/2024;;;2;0;0;3;NULL;NULL;NULL;NULL;y
67;54;26/06/2020;26/06/2023;119/3413/RSJ;128/I.0/F/2019;2;0;0;2;NULL;NULL;NULL;NULL;y
68;55;15/12/2020;15/12/2023;119/1864/RSJ;1767/UN47.B7.5.5/F/2018;2;0;0;2;NULL;NULL;NULL;NULL;y
69;56;12/02/2015;11/02/2018;445/18685/RSJ;1621/UN40.C2/HK/2020;2;0;0;0;NULL;NULL;NULL;NULL;y
70;57;01/01/2014;31/12/2016;119/1332/RSJ;0223/UN40.A6/DN/2019;2;0;0;2;NULL;NULL;NULL;NULL;y
71;58;26/01/2015;25/01/2018;…./…./RSJ;…../…../…..;2;0;0;3;NULL;NULL;NULL;NULL;y
72;59;03/03/2014;02/03/2017;…./…./RSJ;…../…../…..;2;0;0;2;NULL;NULL;NULL;NULL;y
73;60;02/05/2016;02/05/2019;119/6207/RSJ;T/5/UN43.2/HK.07.00/2019;2;0;0;2;NULL;NULL;NULL;NULL;y
74;61;21/12/2020;21/12/2023;073/4052/RSJ;003.01/TEDC/MOU-DIR/II/2019;2;0;0;3;NULL;NULL;NULL;NULL;y
